company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
HAL,2017,-,+,-,Unknown
HAL,2018,-,+,-,Unknown
HAL,2019,-,+,+,Distress Signal
HAL,2020,+,-,+,Mixed
HAL,2021,+,-,-,Reinvestor
HAL,2022,+,-,-,Reinvestor
HAL,2023,+,-,-,Reinvestor
HAL,2024,+,-,-,Reinvestor
HAVELLS,2013,+,-,-,Reinvestor
HAVELLS,2014,+,-,-,Reinvestor
HAVELLS,2015,+,-,-,Reinvestor
HAVELLS,2016,+,-,-,Reinvestor
HAVELLS,2017,+,-,-,Reinvestor
HAVELLS,2018,+,-,-,Reinvestor
HAVELLS,2019,+,+,-,Liquidating Assets
HAVELLS,2020,+,-,-,Reinvestor
HAVELLS,2021,+,-,+,Mixed
HAVELLS,2022,+,-,-,Reinvestor
HAVELLS,2023,+,+,-,Liquidating Assets
HAVELLS,2024,+,-,-,Reinvestor
HCLTECH,2013,+,-,-,Reinvestor
HCLTECH,2014,+,-,-,Reinvestor
HCLTECH,2015,+,-,-,Reinvestor
HCLTECH,2016,+,-,-,Reinvestor
HCLTECH,2017,+,-,-,Reinvestor
HCLTECH,2018,+,-,-,Reinvestor
HCLTECH,2019,+,-,-,Reinvestor
HCLTECH,2020,+,-,-,Reinvestor
HCLTECH,2021,+,-,-,Reinvestor
HCLTECH,2022,+,+,-,Liquidating Assets
HCLTECH,2023,+,-,-,Reinvestor
HCLTECH,2024,+,-,-,Reinvestor
HDFCBANK,2013,-,-,+,Growth Funded by Debt
HDFCBANK,2014,+,-,+,Mixed
HDFCBANK,2015,-,-,+,Growth Funded by Debt
HDFCBANK,2016,-,-,+,Growth Funded by Debt
HDFCBANK,2017,+,-,-,Reinvestor
HDFCBANK,2018,+,-,+,Mixed
HDFCBANK,2019,-,-,+,Growth Funded by Debt
HDFCBANK,2020,-,-,+,Growth Funded by Debt
HDFCBANK,2021,+,-,-,Reinvestor
HDFCBANK,2022,-,-,+,Growth Funded by Debt
HDFCBANK,2023,+,-,+,Mixed
HDFCBANK,2024,+,+,-,Liquidating Assets
HDFCLIFE,2013,,,,
HDFCLIFE,2014,,,,
HDFCLIFE,2015,+,-,-,Reinvestor
HDFCLIFE,2016,+,-,-,Reinvestor
HDFCLIFE,2017,+,-,-,Reinvestor
HDFCLIFE,2018,+,-,-,Reinvestor
HDFCLIFE,2019,+,-,-,Reinvestor
HDFCLIFE,2020,+,-,+,Mixed
HDFCLIFE,2021,+,-,+,Mixed
HDFCLIFE,2022,+,-,-,Reinvestor
HDFCLIFE,2023,+,-,+,Mixed
HDFCLIFE,2024,+,-,-,Reinvestor
HEROMOTOCO,2014,+,-,-,Reinvestor
HEROMOTOCO,2015,+,+,-,Liquidating Assets
HEROMOTOCO,2016,+,-,-,Reinvestor
HEROMOTOCO,2017,+,-,-,Reinvestor
HEROMOTOCO,2018,+,-,-,Reinvestor
HEROMOTOCO,2019,+,+,-,Liquidating Assets
HEROMOTOCO,2020,+,-,-,Reinvestor
HEROMOTOCO,2021,+,-,-,Reinvestor
HEROMOTOCO,2022,+,-,-,Reinvestor
HEROMOTOCO,2023,+,-,-,Reinvestor
HEROMOTOCO,2024,+,-,-,Reinvestor
HINDALCO,2013,+,-,+,Mixed
HINDALCO,2014,+,-,+,Mixed
HINDALCO,2015,+,-,-,Reinvestor
HINDALCO,2016,+,-,-,Reinvestor
HINDALCO,2017,+,-,-,Reinvestor
HINDALCO,2018,+,+,-,Liquidating Assets
HINDALCO,2019,+,-,-,Reinvestor
HINDALCO,2020,+,-,+,Mixed
HINDALCO,2021,+,-,-,Reinvestor
HINDALCO,2022,+,-,-,Reinvestor
HINDALCO,2023,+,-,-,Reinvestor
HINDALCO,2024,+,-,-,Reinvestor
HINDUNILVR,2013,+,+,-,Liquidating Assets
HINDUNILVR,2014,+,-,-,Reinvestor
HINDUNILVR,2015,+,+,-,Liquidating Assets
HINDUNILVR,2016,+,-,-,Reinvestor
HINDUNILVR,2017,+,-,-,Reinvestor
HINDUNILVR,2018,+,-,-,Reinvestor
HINDUNILVR,2019,+,-,-,Reinvestor
HINDUNILVR,2020,+,+,-,Liquidating Assets
HINDUNILVR,2021,+,-,-,Reinvestor
HINDUNILVR,2022,+,-,-,Reinvestor
HINDUNILVR,2023,+,-,-,Reinvestor
HINDUNILVR,2024,+,-,-,Reinvestor
ICICIBANK,2013,+,-,+,Mixed
ICICIBANK,2014,+,-,+,Mixed
ICICIBANK,2015,-,-,+,Growth Funded by Debt
ICICIBANK,2016,+,-,+,Mixed
ICICIBANK,2017,+,-,-,Reinvestor
ICICIBANK,2018,+,-,+,Mixed
ICICIBANK,2019,+,-,-,Reinvestor
ICICIBANK,2020,+,-,+,Mixed
ICICIBANK,2021,+,-,-,Reinvestor
ICICIBANK,2022,+,-,+,Mixed
ICICIBANK,2023,-,-,+,Growth Funded by Debt
ICICIBANK,2024,+,-,+,Mixed
ICICIGI,2013,+,-,+,Mixed
ICICIGI,2014,+,-,+,Mixed
ICICIGI,2015,-,+,-,Unknown
ICICIGI,2016,+,-,-,Reinvestor
ICICIGI,2017,+,-,+,Mixed
ICICIGI,2018,+,-,-,Reinvestor
ICICIGI,2019,+,-,-,Reinvestor
ICICIGI,2020,+,-,-,Reinvestor
ICICIGI,2021,+,-,-,Reinvestor
ICICIGI,2022,+,+,-,Liquidating Assets
ICICIGI,2023,+,-,-,Reinvestor
ICICIGI,2024,+,-,-,Reinvestor
ICICIPRULI,2013,-,+,-,Unknown
ICICIPRULI,2014,-,+,-,Unknown
ICICIPRULI,2015,+,-,-,Reinvestor
ICICIPRULI,2016,+,+,-,Liquidating Assets
ICICIPRULI,2017,+,-,-,Reinvestor
ICICIPRULI,2018,+,-,-,Reinvestor
ICICIPRULI,2019,+,-,-,Reinvestor
ICICIPRULI,2020,+,-,-,Reinvestor
ICICIPRULI,2021,+,-,+,Mixed
ICICIPRULI,2022,+,-,-,Reinvestor
ICICIPRULI,2023,+,-,-,Reinvestor
ICICIPRULI,2024,-,+,-,Unknown
INDIGO,2013,+,-,+,Mixed
INDIGO,2014,+,-,+,Mixed
INDIGO,2015,+,-,-,Reinvestor
INDIGO,2016,+,-,-,Reinvestor
INDIGO,2017,+,-,-,Reinvestor
INDIGO,2018,+,-,+,Mixed
INDIGO,2019,+,-,-,Reinvestor
INDIGO,2020,+,-,-,Reinvestor
INDIGO,2021,-,+,-,Unknown
INDIGO,2022,+,+,-,Liquidating Assets
INDIGO,2023,+,-,-,Reinvestor
INDIGO,2024,+,-,-,Reinvestor
INDUSINDBK,2013,-,-,+,Growth Funded by Debt
INDUSINDBK,2014,-,-,+,Growth Funded by Debt
INDUSINDBK,2015,-,-,+,Growth Funded by Debt
INDUSINDBK,2016,-,-,+,Growth Funded by Debt
INDUSINDBK,2017,+,-,-,Reinvestor
INDUSINDBK,2018,-,-,+,Growth Funded by Debt
INDUSINDBK,2019,-,-,+,Growth Funded by Debt
INDUSINDBK,2020,-,+,+,Distress Signal
INDUSINDBK,2021,+,-,-,Reinvestor
